UTM_N,UTM_E,siteID.x,individualID,taxonID.x,collectDate, plotID.x,domainID.x,utmZone
463841.7828,3642480.763,TALL,2189,NA,NA,NA,NA,16N
463830.3445,3642481.719,TALL,1033,NA,NA,NA,NA,16N
463794.0331,3642487.064,TALL,1028,NA,NA,NA,NA,16N
463801.102,3642485.41,TALL,2188,NA,NA,NA,NA,16N
463809.7934,3642493.882,TALL,2195,NA,NA,NA,NA,16N
463817.3518,3642493.127,TALL,1032,NA,NA,NA,NA,16N
463814.0271,3642486.519,TALL,2194,NA,NA,NA,NA,16N
463808.5634,3642485.756,TALL,1031,NA,NA,NA,NA,16N
458967.7471,3641926.427,TALL,1041,NA,NA,NA,NA,16N
458975.3037,3641921.175,TALL,2232,NA,NA,NA,NA,16N
458957.9064,3641943.902,TALL,1042,NA,NA,NA,NA,16N
458948.865,3641942.39,TALL,2235,NA,NA,NA,NA,16N
458925.1163,3641993.836,TALL,1043,NA,NA,NA,NA,16N
458917.4318,3641991.247,TALL,2225,NA,NA,NA,NA,16N
458980.3706,3642019.302,TALL,1044,NA,NA,NA,NA,16N
458977.3322,3642022.599,TALL,2230,NA,NA,NA,NA,16N
459012.0993,3642040.835,TALL,1046,NA,NA,NA,NA,16N
459009.1685,3642049.608,TALL,2212,NA,NA,NA,NA,16N
458996.0465,3642061.167,TALL,2220,NA,NA,NA,NA,16N
459000.001,3642056.88,TALL,1045,NA,NA,NA,NA,16N
458983.1969,3642070.482,TALL,1047,NA,NA,NA,NA,16N
459003.5152,3642105.238,TALL,2234,NA,NA,NA,NA,16N
459001.8835,3642112.287,TALL,1053,NA,NA,NA,NA,16N
458977.8825,3642105.339,TALL,1054,NA,NA,NA,NA,16N
458973.7168,3642112.582,TALL,2298,NA,NA,NA,NA,16N
459034.5356,3642099.689,TALL,2299,NA,NA,NA,NA,16N
459034.8607,3642107.228,TALL,1052,NA,NA,NA,NA,16N
459027.0345,3642092.543,TALL,2300,NA,NA,NA,NA,16N
459022.5107,3642090.657,TALL,1051,NA,NA,NA,NA,16N
459020.3974,3642080.971,TALL,2202,NA,NA,NA,NA,16N
459019.1155,3642084.243,TALL,1048,NA,NA,NA,NA,16N
459028.8368,3642087.63,TALL,2203,NA,NA,NA,NA,16N
459034.6607,3642081.862,TALL,1050,NA,NA,NA,NA,16N
459057.816,3642073.204,TALL,2221,NA,NA,NA,NA,16N
459051.2388,3642068.863,TALL,1049,NA,NA,NA,NA,16N
458989.0692,3642067.226,TALL,2204,NA,NA,NA,NA,16N
458951.2423,3642131.488,TALL,2226,NA,NA,NA,NA,16N
458947.8535,3642122.053,TALL,1056,NA,NA,NA,NA,16N
458954.6248,3642118.577,TALL,1055,NA,NA,NA,NA,16N
458958.9993,3642116.062,TALL,2297,NA,NA,NA,NA,16N
460752.7469,3643160.112,TALL,1012,NA,NA,NA,NA,16N
460763.6775,3643158.467,TALL,2180,NA,NA,NA,NA,16N
460755.5594,3643174.796,TALL,1017,NA,NA,NA,NA,16N
463924.9514,3642486.142,TALL,1039,NA,NA,NA,NA,16N
463799.7908,3642470.296,TALL,1029,NA,NA,NA,NA,16N
463808.3814,3642479.91,TALL,2196,NA,NA,NA,NA,16N
463813.0992,3642476.784,TALL,1030,NA,NA,NA,NA,16N
463850.6145,3642469.994,TALL,1034,NA,NA,NA,NA,16N
463844.8317,3642451.862,TALL,2201,NA,NA,NA,NA,16N
463847.8246,3642444.603,TALL,1035,NA,NA,NA,NA,16N
460773.3164,3643130.538,TALL,1015,NA,NA,NA,NA,16N
459790.6339,3646414.149,TALL,2135,NA,NA,NA,NA,16N
459833.0728,3646408.264,TALL,2134,NA,NA,NA,NA,16N
459805.1177,3646376.412,TALL,2126,NA,NA,NA,NA,16N
459803.0104,3646393.633,TALL,2174,NA,NA,NA,NA,16N
459861.8494,3646411.358,TALL,2108,NA,NA,NA,NA,16N
459878.9588,3646429.358,TALL,2119,NA,NA,NA,NA,16N
459849.4913,3646534.038,TALL,2122,NA,NA,NA,NA,16N
459855.7449,3646537.449,TALL,2121,NA,NA,NA,NA,16N
459864.8698,3646523.04,TALL,2190,NA,NA,NA,NA,16N
459860.2655,3646529.049,TALL,2113,NA,NA,NA,NA,16N
459882.86,3646601.156,TALL,2115,NA,NA,NA,NA,16N
459878.7964,3646593.75,TALL,2110,NA,NA,NA,NA,16N
461718.0116,3647376.406,TALL,2129,NA,NA,NA,NA,16N
541979.075,4136082.929,MLBS,2573,NA,NA,NA,NA,17N
542006.5861,4136082.491,MLBS,2580,NA,NA,NA,NA,17N
541966.9674,4136142.282,MLBS,2587,NA,NA,NA,NA,17N
